run_accession	site	site_code	lat	lon	season	collection_date	urban	read_pairs_total	sample_alias	total_hits	total_hits_cpm	genus_richness	genus_shannon	family_richness	family_shannon	hits_AlkB	hits_Cutinase_like	hits_MHETase_like	hits_PETase_like	hits_Polyesterase_like	reads_searched
SRR28636381	Tinsukia	TSB	27.57	95.32	winter	2021-12-29	0	24836579	TskMON_Brahmaputra	28509	1096.5	680	4.616792563931076	4	0.9059281730991118	13602	13051	1717	139	0	26000000
SRR23961995	Sadiya	SBR	27.49	95.4	post_monsoon	2021-09-24	0	22169087	SadiyaPTM_Brahmaputra	19793	761.2692307692307	627	4.431236712543715	4	0.8499902369247576	8088	10776	880	49	0	26000000
SRR28636387	Sadiya	SAB	27.49	95.4	winter	2022-01-10	0	17574932	SadMON_Brahmaputra	25730	989.6153846153845	675	4.5767348119449425	4	0.7917136205287016	11909	13238	524	59	0	26000000
SRR23872597	Dibrugarh	DGB	27.29	94.54	post_monsoon	2021-09-24	0	14488896	DibrugarhPTM_Brahmaputra	22767	875.6538461538461	673	4.625707260602085	4	0.8747832307890088	10828	10766	1079	94	0	26000000
SRR28636386	Dibrugarh	DGB	27.29	94.54	winter	2022-01-06	0	20909830	DibMON_Brahmaputra	25149	967.2692307692307	702	4.57602877470765	5	0.8021082715158142	12016	12485	597	50	1	26000000
SRR28925923	Dibrugarh	DGB	27.29	94.54	pre_monsoon	2022-04-21	0	24842611	DibUPRM_Briver	30077	1156.8076923076922	666	4.558641631007227	4	0.8108971209374649	15192	14015	806	64	0	26000000
SRR23872596	Tezpur	TZB	26.36	92.47	post_monsoon	2021-09-26	0	13495134	TezpurPTM_Brahmaputra	26403	1015.4999999999999	711	4.65500708718824	4	0.8679901535103159	13357	11724	1228	94	0	26000000
SRR28636385	Tezpur	TZB	26.36	92.47	winter	2022-01-08	0	21205761	TezMON_Brahmaputra	17807	684.8846153846154	565	4.2348354785329345	4	0.8182840650604454	5843	11126	757	81	0	26000000
SRR28925922	Tezpur	TZB	26.36	92.47	pre_monsoon	2022-04-25	0	69771450	TezMPRM_Briver	25227	970.2692307692308	558	4.38599297253734	5	0.8228771232002141	10519	13788	876	43	1	26000000
SRR23872595	Morigaon	MRB	26.17	92.06	post_monsoon	2021-09-27	0	15273618	MorigaonPTM_Brahmaputra	28757	1106.0384615384614	708	4.674754760875105	4	0.8750053120493684	14626	12603	1419	109	0	26000000
SRR28636384	Morigaon	MRB	26.17	92.06	winter	2021-12-26	0	18602974	MorMON_Brahmaputra	20212	777.3846153846154	566	4.196646202001041	4	0.8248947521143595	9040	10471	660	41	0	26000000
SRR28956463	Morigaon	MRB	26.17	92.06	pre_monsoon	2022-04-28	0	44460790	MorMPRM_Briver	22843	878.5769230769231	626	4.396587789648917	4	0.848709656468117	8652	13058	1056	77	0	26000000
SRR28636380	Palashbari	PAB	26.12	91.54	winter	2021-12-30	0	19479000	PalMON_Brahmaputra	27424	1054.769230769231	684	4.5869336672897685	4	0.9222915020939239	12513	12826	2000	85	0	26000000
SRR23872594	Uzanbazar	UZB	26.11	91.45	post_monsoon	2021-09-28	1	18315098	UzanbazarPTM_Brahmaputra	26121	1004.6538461538461	669	4.566292795579367	4	0.8723932142338157	12854	11939	1222	106	0	26000000
SRR28636383	Uzanbazar	UZB	26.11	91.45	winter	2021-12-27	1	19921703	UznMON_Brahmaputra	23088	888.0	634	4.4613201254997845	5	0.8776367821704872	8736	12947	1311	93	1	26000000
SRR28956462	Uzanbazar	UZB	26.11	91.45	pre_monsoon	2022-04-30	1	32512519	UznLPRM_Briver	23970	921.9230769230769	717	4.606603494163809	4	0.8547098112934527	10646	12261	970	93	0	26000000
SRR23872593	Dhubri	DHB	26.01	89.59	post_monsoon	2021-09-29	0	16918058	DhubriPTM_Brahmaputra	25532	982.0	688	4.595255073887969	4	0.8982801994064584	10848	13048	1529	107	0	26000000
SRR28636382	Dhubri	DHB	26.01	89.59	winter	2021-12-28	0	20720903	DhuMON_Brahmaputra	21889	841.8846153846155	527	4.301397216031457	4	0.8694943350255799	8171	12433	1203	82	0	26000000
