run_accession,PCo1,PCo2,PCo3,site,season,lat,urban
SRR28636381,0.22940029362218128,0.11770719774140309,-0.0043538233281702685,Tinsukia,winter,27.57,0
SRR23961995,-0.14024929586893578,0.08428904944248825,-0.028469510998888222,Sadiya,post_monsoon,27.49,0
SRR28636387,0.29660935410930267,0.10299715295526583,0.11766905325602844,Sadiya,winter,27.49,0
SRR23872597,-0.15877269398342383,0.06212980694830134,-0.04343864800975215,Dibrugarh,post_monsoon,27.29,0
SRR28636386,0.29334367338095885,0.08850233890611968,0.18143672735536598,Dibrugarh,winter,27.29,0
SRR28925923,-0.31346587331396586,-0.15644563981248902,0.13574895106500232,Dibrugarh,pre_monsoon,27.29,0
SRR23872596,-0.2730772278561774,0.00921046950995076,-0.04176418215989882,Tezpur,post_monsoon,26.36,0
SRR28636385,0.4028276052786181,-0.11320062464698026,-0.10623912461906825,Tezpur,winter,26.36,0
SRR28925922,-0.23991530011421963,-0.08035832263611078,0.08696655068479411,Tezpur,pre_monsoon,26.36,0
SRR23872595,-0.31033634077372935,-0.020415632502538947,-0.03226124624434134,Morigaon,post_monsoon,26.17,0
SRR28636384,0.35596577858629896,-0.15588673979064113,0.02576021675181781,Morigaon,winter,26.17,0
SRR28956463,-0.2357744970839786,0.0447823474302628,-0.018568778749519465,Morigaon,pre_monsoon,26.17,0
SRR28636380,0.23984372231531606,0.10347974293268399,-0.03925085512099173,Palashbari,winter,26.12,0
SRR23872594,-0.23920329950661184,0.028204051821191924,-0.06325669826827558,Uzanbazar,post_monsoon,26.11,1
SRR28636383,0.3288864806761244,0.023045071600885227,-0.09452607467836448,Uzanbazar,winter,26.11,1
SRR28956462,-0.24704138045164412,0.026218556852631223,-0.0033963461660458257,Uzanbazar,pre_monsoon,26.11,1
SRR23872593,-0.29939920399823844,-0.015556990367774071,-0.03301026604586214,Dhubri,post_monsoon,26.01,0
SRR28636382,0.3103582049821245,-0.1487018363846502,-0.039045944723830134,Dhubri,winter,26.01,0
