run_accession	site	site_code	lat	lon	season	collection_date	urban	read_pairs_total	sample_alias	total_hits	total_hits_cpm	genus_richness	genus_shannon	family_richness	family_shannon	hits_AlkB	hits_Cutinase_like	hits_MHETase_like	hits_PETase_like	reads_searched
SRR28636381	Tinsukia	TSB	27.57	95.32	winter	2021-12-29	0	24836579	TskMON_Brahmaputra	4028	154.9230769230769	365	4.638991870307613	4	0.9406418963284573	2086	1584	340	18	26000000
SRR23961995	Sadiya	SBR	27.49	95.4	post_monsoon	2021-09-24	0	22169087	SadiyaPTM_Brahmaputra	9122	350.84615384615387	488	4.434703817034338	4	0.8687646427824974	4228	4414	468	12	26000000
SRR28636387	Sadiya	SAB	27.49	95.4	winter	2022-01-10	0	17574932	SadMON_Brahmaputra	3598	138.3846153846154	370	4.6089532888513425	4	0.7959246278104618	1909	1596	89	4	26000000
SRR23872597	Dibrugarh	DGB	27.29	94.54	post_monsoon	2021-09-24	0	14488896	DibrugarhPTM_Brahmaputra	9508	365.6923076923077	501	4.575439116232446	4	0.8571614893203549	4987	4063	436	22	26000000
SRR28636386	Dibrugarh	DGB	27.29	94.54	winter	2022-01-06	0	20909830	DibMON_Brahmaputra	3745	144.03846153846155	353	4.503896732566186	4	0.8137746194017812	1997	1626	118	4	26000000
SRR28925923	Dibrugarh	DGB	27.29	94.54	pre_monsoon	2022-04-21	0	24842611	DibUPRM_Briver	17432	670.4615384615385	570	4.513863754488432	4	0.8111761593798009	9683	7180	534	35	26000000
SRR23872596	Tezpur	TZB	26.36	92.47	post_monsoon	2021-09-26	0	13495134	TezpurPTM_Brahmaputra	13025	500.96153846153845	577	4.65065843949196	4	0.852633467874281	7268	5106	617	34	26000000
SRR28636385	Tezpur	TZB	26.36	92.47	winter	2022-01-08	0	21205761	TezMON_Brahmaputra	2279	87.65384615384615	254	4.14629318806633	4	0.8625407888441231	780	1354	139	6	26000000
SRR28925922	Tezpur	TZB	26.36	92.47	pre_monsoon	2022-04-25	0	69771450	TezMPRM_Briver	12870	495.0	447	4.265889171055787	4	0.8209662248178825	5929	6499	434	8	26000000
SRR23872595	Morigaon	MRB	26.17	92.06	post_monsoon	2021-09-27	0	15273618	MorigaonPTM_Brahmaputra	15194	584.3846153846154	592	4.673290723107586	4	0.8667809184880078	8522	5818	801	53	26000000
SRR28636384	Morigaon	MRB	26.17	92.06	winter	2021-12-26	0	18602974	MorMON_Brahmaputra	2912	112.0	280	4.046447775637754	4	0.8542189927781118	1440	1341	124	7	26000000
SRR28956463	Morigaon	MRB	26.17	92.06	pre_monsoon	2022-04-28	0	44460790	MorMPRM_Briver	11921	458.5	526	4.417845572785217	4	0.8791244079432129	5120	6124	644	33	26000000
SRR28636380	Palashbari	PAB	26.12	91.54	winter	2021-12-30	0	19479000	PalMON_Brahmaputra	3925	150.96153846153845	340	4.4743957789252295	4	0.9353984962550106	1979	1601	336	9	26000000
SRR23872594	Uzanbazar	UZB	26.11	91.45	post_monsoon	2021-09-28	1	18315098	UzanbazarPTM_Brahmaputra	12219	469.96153846153845	536	4.527153304377654	4	0.8626382892448523	6688	4891	602	38	26000000
SRR28636383	Uzanbazar	UZB	26.11	91.45	winter	2021-12-27	1	19921703	UznMON_Brahmaputra	3103	119.34615384615384	300	4.391288413379799	4	0.9338925208503595	1255	1593	238	17	26000000
SRR28956462	Uzanbazar	UZB	26.11	91.45	pre_monsoon	2022-04-30	1	32512519	UznLPRM_Briver	12386	476.3846153846154	597	4.618089966023946	4	0.8682557580855893	6197	5572	572	45	26000000
SRR23872593	Dhubri	DHB	26.01	89.59	post_monsoon	2021-09-29	0	16918058	DhubriPTM_Brahmaputra	14375	552.8846153846154	555	4.601046486197774	4	0.909380975494799	6870	6507	954	44	26000000
SRR28636382	Dhubri	DHB	26.01	89.59	winter	2021-12-28	0	20720903	DhuMON_Brahmaputra	3215	123.65384615384615	272	4.180010934507841	4	0.9283318811513174	1333	1621	250	11	26000000
