run_accession	site	site_code	lat	lon	season	collection_date	urban	read_pairs_total	sample_alias
SRR28636381	Tinsukia	TSB	27.57	95.32	winter	2021-12-29	0	24836579	TskMON_Brahmaputra
SRR23961995	Sadiya	SBR	27.49	95.4	post_monsoon	2021-09-24	0	22169087	SadiyaPTM_Brahmaputra
SRR28636387	Sadiya	SAB	27.49	95.4	winter	2022-01-10	0	17574932	SadMON_Brahmaputra
SRR23872597	Dibrugarh	DGB	27.29	94.54	post_monsoon	2021-09-24	0	14488896	DibrugarhPTM_Brahmaputra
SRR28636386	Dibrugarh	DGB	27.29	94.54	winter	2022-01-06	0	20909830	DibMON_Brahmaputra
SRR28925923	Dibrugarh	DGB	27.29	94.54	pre_monsoon	2022-04-21	0	24842611	DibUPRM_Briver
SRR23872596	Tezpur	TZB	26.36	92.47	post_monsoon	2021-09-26	0	13495134	TezpurPTM_Brahmaputra
SRR28636385	Tezpur	TZB	26.36	92.47	winter	2022-01-08	0	21205761	TezMON_Brahmaputra
SRR28925922	Tezpur	TZB	26.36	92.47	pre_monsoon	2022-04-25	0	69771450	TezMPRM_Briver
SRR23872595	Morigaon	MRB	26.17	92.06	post_monsoon	2021-09-27	0	15273618	MorigaonPTM_Brahmaputra
SRR28636384	Morigaon	MRB	26.17	92.06	winter	2021-12-26	0	18602974	MorMON_Brahmaputra
SRR28956463	Morigaon	MRB	26.17	92.06	pre_monsoon	2022-04-28	0	44460790	MorMPRM_Briver
SRR28636380	Palashbari	PAB	26.12	91.54	winter	2021-12-30	0	19479000	PalMON_Brahmaputra
SRR23872594	Uzanbazar	UZB	26.11	91.45	post_monsoon	2021-09-28	1	18315098	UzanbazarPTM_Brahmaputra
SRR28636383	Uzanbazar	UZB	26.11	91.45	winter	2021-12-27	1	19921703	UznMON_Brahmaputra
SRR28956462	Uzanbazar	UZB	26.11	91.45	pre_monsoon	2022-04-30	1	32512519	UznLPRM_Briver
SRR23872593	Dhubri	DHB	26.01	89.59	post_monsoon	2021-09-29	0	16918058	DhubriPTM_Brahmaputra
SRR28636382	Dhubri	DHB	26.01	89.59	winter	2021-12-28	0	20720903	DhuMON_Brahmaputra
